row_id,KQI_Degradate_Flag,E_RAB_Estab.-SR,RRC_Recon._rate,RRC_Estab.-SR,DL_PRB_avg_Utilz._rate,Maximum_num_of_users,Mean_num_of_users,UL_PRB_avg_Utilz._rate,UE_Context_DR,E_RAB_Context_DR,DL_avg_Pckt_delay,Inner_HO-SR,X2_HO-SR,RSRP_Coverage_rate,CQI_up_seven,RSSI,Avg_distance
212,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
213,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
214,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
215,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
216,1,2,0,2,2,2,2,2,1,1,2,2,2,0,1,2,0
217,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
218,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,1
219,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,2
220,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
221,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
222,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
223,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
224,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1
225,1,2,0,2,2,2,2,2,0,0,2,2,2,0,2,2,2
226,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2
227,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
228,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,2
229,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1
230,1,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
231,1,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,1
232,1,2,2,2,2,2,2,2,1,0,2,2,2,0,2,2,2
233,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,0
234,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2
235,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2
236,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2
237,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
238,1,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2
239,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,2
240,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
241,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2
242,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
243,1,2,0,1,2,2,2,2,2,2,0,2,2,1,0,2,1
244,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
245,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
246,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
247,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
248,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1
249,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,1
250,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
251,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1
252,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
253,1,2,2,1,2,2,2,2,2,2,0,2,2,1,2,2,2
254,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1
255,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,1
256,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
257,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2
258,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
259,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
